retarget_idx        retarget_name        sym_name           corresponding_sym_idx
0                   Hips                 Hips               0
1                   Spine                Spine              1
2                   Spine1               Spine1             2
3                   Neck                 Neck               3
4                   Head                 Head               4
5                   HeadEnd              HeadEnd            5
6                   LeftShoulder         RightShoulder      11
7                   LeftArm              RightArm           12
8                   LeftForeArm          RightForeArm       13
9                   LeftHand             RightHand          14
10                  LeftHandEnd          RightHandEnd       15
11                  RightShoulder        LeftShoulder       6
12                  RightArm             LeftArm            7
13                  RightForeArm         LeftForeArm        8
14                  RightHand            LeftHand           9
15                  RightHandEnd         LeftHandEnd        10
16                  LeftUpLeg            RightUpLeg         20
17                  LeftLeg              RightLeg           21
18                  LeftFoot             RightFoot          22
19                  LeftFootEnd          RightFootEnd       23
20                  RightUpLeg           LeftUpLeg          16
21                  RightLeg             LeftLeg            17
22                  RightFoot            LeftFoot           18
23                  RightFootEnd         LeftFootEnd        19
24                  Tail                 Tail               24
25                  Tail1                Tail1              25
26                  Tail1End             Tail1End           26
