retarget_idx        retarget_name        sym_name           corresponding_sym_idx
0                   Hips                 Hips               0
1                   lowerneck            lowerneck          1
2                   Neck                 Neck               2
3                   Head                 Head               3
4                   HeadEnd              HeadEnd            4
5                   lowerback            lowerback          5
6                   Chest                Chest              6
7                   Chest2               Chest2             7
8                   RightCollar          LeftCollar         17
9                   RightShoulder        LeftShoulder       18
10                  RightElbow           LeftElbow          19
11                  RightWrist           LeftWrist          20
12                  RThumb               LThumb             21
13                  RThumbEnd            LThumbEnd          22
14                  rhand                lhand              23
15                  RFingers             LFingers           24
16                  RFingersEnd          LFingersEnd        25
17                  LeftCollar           RightCollar        8
18                  LeftShoulder         RightShoulder      9
19                  LeftElbow            RightElbow         10
20                  LeftWrist            RightWrist         11
21                  LThumb               RThumb             12
22                  LThumbEnd            RThumbEnd          13
23                  lhand                rhand              14
24                  LFingers             RFingers           15
25                  LFingersEnd          RFingersEnd        16
26                  RHipJoint            LHipJoint          32
27                  RightHip             LeftHip            33
28                  RightKnee            LeftKnee           34
29                  RightAnkle           LeftAnkle          35
30                  RightToe             LeftToe            36
31                  RightToeEnd          LeftToeEnd         37
32                  LHipJoint            RHipJoint          26
33                  LeftHip              RightHip           27
34                  LeftKnee             RightKnee          28
35                  LeftAnkle            RightAnkle         29
36                  LeftToe              RightToe           30
37                  LeftToeEnd           RightToeEnd        31
